indice;X1 (m);Y1 (m)
0;-0,005319149;0,005319149
1;-0,005319149;-0,005319149
2;-0,005319149;0
3;-0,005319149;0
4;-0,005319149;0
5;0;0
6;0,063829787;0,010638298
7;0,132978723;0,010638298
8;0,228723404;0,015957447
9;0,324468085;0,021276596
10;0,425531915;0,021276596
11;0,531914894;0,021276596
12;0,622340426;0,021276596
13;0,718085106;0,021276596
14;0,819148936;0,026595745
15;0,904255319;0,042553191
16;0,994680851;0,031914894
17;1,074468085;0,074468085
18;1,159574468;0,095744681
19;1,25;0,143617021
20;1,313829787;0,207446809
21;1,377659574;0,271276596
22;1,441489362;0,335106383
23;1,489361702;0,409574468
24;1,537234043;0,505319149
25;1,558510638;0,590425532
26;1,574468085;0,691489362
27;1,595744681;0,792553191
28;1,590425532;0,909574468
29;1,563829787;1,005319149
30;1,537234043;1,10106383
31;1,494680851;1,186170213
32;1,45212766;1,281914894
33;1,404255319;1,356382979
34;1,335106383;1,430851064
35;1,276595745;1,473404255
36;1,191489362;1,531914894
37;1,127659574;1,558510638
38;1,037234043;1,574468085
39;0,946808511;1,590425532
40;0,840425532;1,611702128
41;0,765957447;1,627659574
42;0,728723404;1,638297872
43;0,707446809;1,638297872
44;0,707446809;1,64893617
45;0,691489362;1,64893617
46;0,70212766;1,680851064
47;0,696808511;1,712765957
48;0,707446809;1,739361702
49;0,712765957;1,755319149
50;0,728723404;1,776595745
51;0,75;1,776595745
52;0,755319149;1,776595745
53;0,787234043;1,760638298
54;0,808510638;1,755319149
55;0,824468085;1,734042553
56;0,840425532;1,707446809
57;0,85106383;1,659574468
58;0,856382979;1,60106383
59;0,867021277;1,510638298
60;0,861702128;1,39893617
61;0,861702128;1,281914894
62;0,856382979;1,20212766
63;0,861702128;1,090425532
64;0,861702128;0,978723404
65;0,856382979;0,872340426
66;0,867021277;0,760638298
67;0,867021277;0,64893617
68;0,861702128;0,526595745
69;0,867021277;0,409574468
70;0,861702128;0,281914894
71;0,872340426;0,159574468
72;0,872340426;0,04787234
73;0,872340426;-0,090425532
74;0,867021277;-0,218085106
75;0,861702128;-0,324468085
76;0,867021277;-0,430851064
77;0,867021277;-0,441489362
78;0,867021277;-0,441489362
79;0,867021277;-0,441489362
80;0,867021277;-0,441489362
81;0,867021277;-0,441489362
82;0,867021277;-0,441489362
83;0,867021277;-0,441489362
84;0,867021277;-0,441489362
85;0,877659574;-0,558510638
86;0,877659574;-0,611702128
87;0,872340426;-0,670212766
88;0,872340426;-0,723404255
89;0,867021277;-0,792553191
90;0,861702128;-0,872340426
91;0,856382979;-0,95212766
92;0,861702128;-1,015957447
93;0,872340426;-1,090425532
94;0,867021277;-1,106382979
95;0,867021277;-1,106382979
96;0,877659574;-1,132978723
97;0,882978723;-1,159574468
98;0,893617021;-1,196808511
