indice;X1 (m);Y1 (m)
0;-0,025965269;0,012982634
1;-0,025965269;0,012982634
2;-0,025965269;0,012982634
3;-0,025965269;0,012982634
4;-0,025965269;0,012982634
5;-0,025965269;0,012982634
6;-0,025965269;0,012982634
7;0,012982634;0,025965269
8;0,038947903;0,025965269
9;0,064913172;0,025965269
10;0,116843709;0,025965269
11;0,194739515;0,051930537
12;0,246670053;0,051930537
13;0,311583225;0,051930537
14;0,376496396;0,051930537
15;0,467374837;0,051930537
16;0,532288009;0,064913172
17;0,59720118;0,064913172
18;0,688079621;0,064913172
19;0,740010158;0,064913172
20;0,830888599;0,077895806
21;0,882819136;0,064913172
22;0,973697577;0,064913172
23;1,025628114;0,051930537
24;1,064576017;0,064913172
25;1,129489189;0,064913172
26;1,181419727;0,064913172
27;1,22036763;0,064913172
28;1,272298167;0,064913172
29;1,337211339;0,064913172
30;1,389141876;0,064913172
31;1,441072414;0,064913172
32;1,493002951;0,051930537
33;1,557916123;0,051930537
34;1,583881392;0,064913172
35;1,622829295;0,064913172
36;1,674759832;0,077895806
37;1,713707735;0,103861075
38;1,765638273;0,103861075
39;1,765638273;0,129826344
40;1,791603541;0,155791612
41;1,81756881;0,155791612
42;1,830551444;0,181756881
43;1,869499348;0,20772215
44;1,882481982;0,233687418
45;1,908447251;0,246670053
46;1,947395154;0,285617956
47;1,973360422;0,311583225
48;1,973360422;0,337548493
49;1,999325691;0,376496396
50;2,038273594;0,389479031
51;2,051256229;0,441409568
52;2,051256229;0,493340106
53;2,077221497;0,493340106
54;2,077221497;0,571235912
55;2,077221497;0,623166449
56;2,077221497;0,636149084
57;2,077221497;0,688079621
58;2,064238863;0,727027524
59;2,077221497;0,778958061
60;2,064238863;0,817905965
61;2,064238863;0,843871233
62;2,038273594;0,882819136
63;2,038273594;0,921767039
64;2,02529096;0,960714942
65;2,012308326;0,999662846
66;1,999325691;1,025628114
67;1,999325691;1,038610749
68;1,973360422;1,077558652
69;1,934412519;1,129489189
70;1,947395154;1,155454458
71;1,895464616;1,168437092
72;1,869499348;1,194402361
73;1,856516713;1,22036763
74;1,81756881;1,246332898
75;1,778620907;1,272298167
76;1,752655638;1,298263436
77;1,72669037;1,324228705
78;1,687742467;1,324228705
79;1,661777198;1,324228705
80;1,635811929;1,337211339
81;1,583881392;1,376159242
82;1,557916123;1,350193973
83;1,531950854;1,350193973
84;1,493002951;1,350193973
85;1,467037682;1,337211339
86;1,441072414;1,350193973
87;1,402124511;1,337211339
88;1,376159242;1,337211339
89;1,350193973;1,324228705
90;1,298263436;1,324228705
91;1,259315533;1,31124607
92;1,207384995;1,298263436
93;1,142471824;1,285280801
94;1,10352392;1,259315533
95;1,077558652;1,272298167
96;1,01264548;1,259315533
97;0,973697577;1,233350264
98;0,921767039;1,22036763
99;0,869836502;1,22036763
100;0,830888599;1,22036763
101;0,791940696;1,207384995
102;0,740010158;1,207384995
